cell_type_ontology_term_id
CL:0000038
CL:0000764
CL:0002193
CL:0000990
CL:0000553
CL:0000838
CL:0000817
CL:0000050
CL:0000972
CL:0000970
CL:0000784
CL:0000909
CL:0000897
CL:0000788
CL:0000816
CL:0000787
CL:0000623
CL:0000236
CL:0000980
CL:0000745
CL:0000055
CL:0002067
CL:0000502
CL:0001063
CL:0000763
CL:0000540
CL:0000127
CL:0000584
CL:0000034
CL:0011115
CL:0000814
CL:0000766
CL:0000164
CL:0000669
CL:0000057
CL:0000115
CL:0000235
CL:0001061
CL:0000084
CL:0011026
CL:0000192
CL:0000186
CL:0000499
CL:0002063
CL:0000148
CL:0000126
CL:0000748
CL:0000573
CL:0000740
CL:0000954
CL:0005009
CL:0005011
CL:0002201
CL:0000576
CL:0000075
CL:0000650
CL:0000863
CL:0001065
CL:0000232
CL:0000765
CL:0000134
CL:0001056
CL:0000190
CL:0000189
CL:0008002
CL:0008034
CL:0002139
CL:0000594
CL:0000136
CL:0000432
CL:0000151
CL:0000501
CL:0000624
CL:0000625
CL:0000542
CL:0000785
CL:4030028
CL:4030027
CL:0000113
CL:0000125
CL:0000679
CL:0000617
CL:0000749
CL:0000750
CL:0001082
CL:0000006
CL:0000775
CL:0000556
CL:0000049
CL:0000771
CL:0000767
CL:0000099
CL:0002393
CL:0000646
CL:0002225
CL:0011004
CL:0005010
CL:0009010
CL:0002038
CL:0000815
CL:0000160
CL:0000843
CL:0000896
CL:0000062
CL:0000138
CL:0000498
CL:0011020
CL:0000751
CL:0000492
CL:0000442
CL:0005012
CL:0005006
CL:0000752
CL:0000813
CL:0002341
CL:0002340
CL:0000165
CL:0000700
CL:0000790
CL:0000791
CL:0000036
CL:0000595
CL:0002326
CL:0000988
CL:4023017
CL:4023018
CL:4023011
CL:4023083
CL:4023016
CL:4023121
CL:0000842
CL:0000187
CL:0000569
CL:0000906
CL:0000792
CL:0000802
CL:0000037
CL:0011012
CL:0000101
CL:2000032
CL:0000081
CL:0000056
CL:4023054
CL:0000319
CL:0000067
CL:0000402
CL:0000120
CL:0011005
CL:0000898
CL:0000890
CL:0000051
CL:0000839
CL:0002204
CL:0010012
CL:0010011
CL:4030059
CL:4030067
CL:0000453
CL:0000529
CL:0000598
CL:0000079
CL:0002496
CL:0000827
CL:0008001
CL:0008036
CL:0000696
CL:0000031
CL:0000030
CL:0000459
CL:4023029
CL:4023026
CL:1001474
CL:0001069
CL:0000957
CL:0001203
CL:0002397
CL:0000630
CL:0000145
CL:0002334
CL:0000914
CL:0000183
CL:0002329
CL:0000782
CL:0000667
CL:0000095
CL:4030026
CL:0000680
CL:0002009
CL:0000823
CL:0002376
CL:0000185
CL:0008031
CL:4023041
CL:4023012
CL:4023013
CL:4023038
CL:4023051
CL:4023040
CL:0002489
CL:4023188
CL:4023189
CL:4023042
CL:0000651
CL:0002268
CL:4033054
CL:0001078
CL:0002488
CL:0000100
CL:0000531
CL:4023050
CL:0000822
CL:0000819
CL:0000921
CL:0000841
CL:0000681
CL:0008011
CL:0002677
CL:0000019
CL:0000800
CL:0000210
CL:0000103
CL:0000166
CL:0011103
CL:0000122
CL:0000123
CL:0005025
CL:0000209
CL:0002145
CL:0000313
