cell_type_coarse_ontology_term_id
CL:0000839
CL:0000763
CL:0002191
CL:0000451
CL:0011026
CL:0001201
CL:0000787
CL:0000813
CL:0000785
CL:0001067
CL:0000945
CL:0000946
CL:0000099
CL:0011115
CL:0000170
CL:0000172
CL:0001061
CL:0000988
CL:0002319
CL:0000126
CL:0002563
CL:0000000
CL:0000791
CL:0000163
CL:0008034
CL:0002320
CL:0000255
CL:0000766
CL:0000542
CL:0008007
CL:1000272
CL:0000125
CL:0009004
CL:0010009
CL:0000117
CL:0000955
CL:0002518
CL:0005010
CL:0000066
CL:0000669
CL:0000861
CL:0000764
CL:0008046
CL:0000515
CL:4033054
CL:0000115
CL:0000680
CL:0000057
CL:0002174
CL:0000842
CL:1001509
CL:0011005
CL:0000095
CL:0000540
CL:0000748
CL:0001065
CL:0000197
CL:0000094
CL:0002032
CL:0000576
CL:0000036
CL:0011004
CL:0002222
CL:1000449
CL:0000492
CL:0002419
CL:0000822
CL:0000624
CL:0000667
CL:0000055
CL:0000749
CL:0000473
CL:0000075
CL:0002231
CL:0000710
CL:4033050
CL:0002420
CL:0000035
CL:0000232
CL:0002327
CL:4023069
CL:4023064
CL:4023017
CL:0000738
CL:0000393
CL:2000073
CL:0000625
CL:0000815
CL:0000801
CL:0002321
CL:0000526
CL:0000159
CL:2000029
CL:0000617
CL:0002076
CL:4023040
CL:4023012
CL:0000990
CL:0000104
CL:0000838
CL:0000351
CL:0000167
CL:0000457
CL:1001474
CL:0000909
CL:0001054
CL:0000790
CL:0002202
CL:0000327
CL:0000584
CL:0001082
CL:0002573
CL:0000183
CL:0010012
CL:4023111
CL:4023058
CL:4023008
CL:0000893
CL:0000740
CL:4023013
CL:0000319
CL:0002269
CL:0001071
CL:0000527
CL:0000530
CL:4030065
CL:0000814
CL:0000594
CL:0000898
CL:0000408
CL:0008028
CL:0000568
CL:0000107
CL:0000100
CL:4030034
